---Item List as of 04/09/2009---
Tools: POLutils (thanks Pebbles)
Organizer: Blasingame

Notes: If you find any missing items on this list please notify dev or myself on http://www.projectxi.org/forums/.

Table of Contents:
1. General Items	[GI1]
00000BF9 (3065)	Maze Monger elixir +1
00000BFA (3066)	bowl of Maze Monger soup
00000BFB (3067)	Maze Monger pie
00000BFC (3068)	loaf of Maze Monger bread
00000BFD (3069)	bowl of Maze Monger soup +1
00000BFE (3070)	Maze Monger pie +1
00000BFF (3071)	loaf of Maze Monger bread +1


<<<Usable Items>>>
[UI2]

Hex ID:  List#:	Name:
______________________________

00001000 (4096)	fire crystal
00001001 (4097)	ice crystal
00001002 (4098)	wind crystal
00001003 (4099)	earth crystal
00001004 (4100)	lightning crystal
00001005 (4101)	water crystal
00001006 (4102)	light crystal
00001007 (4103)	dark crystal
00001008 (4104)	fire cluster
00001009 (4105)	ice cluster
0000100A (4106)	wind cluster
0000100B (4107)	earth cluster
0000100C (4108)	lightning cluster
0000100D (4109)	water cluster
0000100E (4110)	light cluster
0000100F (4111)	dark cluster
00001010 (4112)	potion
00001011 (4113)	potion +1
00001012 (4114)	potion +2
00001013 (4115)	potion +3
00001014 (4116)	hi-potion
00001015 (4117)	hi-potion +1
00001016 (4118)	hi-potion +2
00001017 (4119)	hi-potion +3
00001018 (4120)	x-potion
00001019 (4121)	x-potion +1
0000101A (4122)	x-potion +2
0000101B (4123)	x-potion +3
0000101C (4124)	max-potion
0000101D (4125)	max-potion +1
0000101E (4126)	max-potion +2
0000101F (4127)	max-potion +3
00001020 (4128)	ether
00001021 (4129)	ether +1
00001022 (4130)	ether +2
00001023 (4131)	ether +3
00001024 (4132)	hi-ether
00001025 (4133)	hi-ether +1
00001026 (4134)	hi-ether +2
00001027 (4135)	hi-ether +3
00001028 (4136)	super ether
00001029 (4137)	super ether +1
0000102A (4138)	super ether +2
0000102B (4139)	super ether +3
0000102C (4140)	pro-ether
0000102D (4141)	pro-ether +1
0000102E (4142)	pro-ether +2
0000102F (4143)	pro-ether +3
00001030 (4144)	hi-elixir
00001031 (4145)	elixir
00001032 (4146)	revitalizer
00001033 (4147)	bottle of body boost
00001034 (4148)	antidote
00001035 (4149)	flask of panacea
00001036 (4150)	flask of eye drops
00001037 (4151)	flask of echo drops
00001039 (4153)	bottle of antacid
0000103A (4154)	flask of holy water
0000103B (4155)	remedy
0000103C (4156)	bottle of mulsum
0000103D (4157)	flask of poison potion
0000103E (4158)	flask of venom potion
0000103F (4159)	flask of paralyze potion
00001040 (4160)	flask of petrify potion
00001041 (4161)	flask of sleeping potion
00001042 (4162)	flask of silencing potion
00001043 (4163)	flask of blinding potion
00001044 (4164)	pinch of prism powder
00001045 (4165)	pot of silent oil
00001046 (4166)	flask of deodorizer
00001047 (4167)	cracker
00001048 (4168)	Twinkle Shower
00001049 (4169)	Little Comet
0000104A (4170)	wedding bell
0000104B (4171)	flask of vitriol
0000104C (4172)	reraiser
0000104D (4173)	hi-reraiser
0000104E (4174)	vile elixir
0000104F (4175)	vile elixir +1
00001050 (4176)	New Year's gift
00001051 (4177)	New Year's gift
00001052 (4178)	New Year's gift
00001053 (4179)	New Year's gift
00001054 (4180)	New Year's gift
00001055 (4181)	scroll of Instant Warp
00001056 (4182)	scroll of Instant Reraise
00001057 (4183)	Konron Hassen
00001058 (4184)	Kongou Inaho
00001059 (4185)	Meifu Goma
0000105A (4186)	Airborne
0000105B (4187)	Bastok Mines gate glyph
0000105C (4188)	Bastok Markets gate glyph
0000105D (4189)	Port Bastok gate glyph
0000105E (4190)	Eastern San d'Oria gate glyph
0000105F (4191)	Western San d'Oria gate glyph
00001060 (4192)	Northern San d'Oria gate glyph
00001061 (4193)	Windurst Waters gate glyph
00001062 (4194)	Port Windurst gate glyph
00001063 (4195)	Windurst Woods gate glyph
00001064 (4196)	rotten quiver
00001065 (4197)	rusty bolt case
00001066 (4198)	page from the Dragon Chronicles
00001067 (4199)	strength potion
00001068 (4200)	bottle of mana boost
00001069 (4201)	dexterity potion
0000106A (4202)	daedalus wing
0000106B (4203)	vitality potion
0000106C (4204)	Petra eater
0000106D (4205)	agility potion
0000106E (4206)	bottle of catholicon
0000106F (4207)	intelligence potion
00001070 (4208)	bottle of catholicon +1
00001071 (4209)	mind potion
00001072 (4210)	bottle of lethe water
00001073 (4211)	charisma potion
00001074 (4212)	bottle of lethe water +1
00001075 (4213)	icarus wing
00001076 (4214)	pinch of lethe powder
00001077 (4215)	popstar
00001078 (4216)	brilliant snow
00001079 (4217)	sparkling hand
0000107A (4218)	air rider
0000107B (4219)	stone quiver
0000107C (4220)	bone quiver
0000107D (4221)	beetle quiver
0000107E (4222)	horn quiver
0000107F (4223)	scorpion quiver
00001080 (4224)	demon quiver
00001081 (4225)	iron quiver
00001082 (4226)	silver quiver
00001083 (4227)	bronze bolt quiver
00001084 (4228)	mythril bolt quiver
00001085 (4229)	darksteel bolt quiver
00001086 (4230)	New Year's gift
00001087 (4231)	New Year's gift
00001088 (4232)	New Year's gift
00001089 (4233)	New Year's gift
0000108A (4234)	bottle of cursed beverage
0000108B (4235)	bowl of cursed soup
0000108C (4236)	timeless hourglass
0000108D (4237)	perpetual hourglass
0000108E (4238)	inferno crystal
0000108F (4239)	glacier crystal
00001090 (4240)	cyclone crystal
00001091 (4241)	terra crystal
00001092 (4242)	plasma crystal
00001093 (4243)	torrent crystal
00001094 (4244)	aurora crystal
00001095 (4245)	twilight crystal
00001096 (4246)	bottle of cantarella
00001097 (4247)	page from Miratete's Memoirs
00001098 (4248)	copy of "Ginuva's Battle Theory"
00001099 (4249)	copy of "Schultz Stratagems"
0000109A (4250)	crackler
0000109B (4251)	festive fan
0000109C (4252)	summer fan
0000109D (4253)	spirit masque
0000109E (4254)	megalixir
0000109F (4255)	pinch of mana powder
000010A0 (4256)	ouka ranman
000010A1 (4257)	papillion
000010A2 (4258)	red drop
000010A3 (4259)	clear drop
000010A4 (4260)	green drop
000010A5 (4261)	yellow drop
000010A6 (4262)	purple drop
000010A7 (4263)	blue drop
000010A8 (4264)	white drop
000010A9 (4265)	black drop
000010AA (4266)	ilm-long salmon sub
000010AB (4267)	buttered nebimonite
000010AC (4268)	plate of sea spray risotto
000010AD (4269)	bijou glace
000010AE (4270)	sweet rice cake
000010AF (4271)	rice dumpling
000010B0 (4272)	slice of dragon meat
000010B1 (4273)	kitron
000010B2 (4274)	persikos
000010B3 (4275)	serving of emperor roe
000010B4 (4276)	serving of flint caviar
000010B5 (4277)	tonosama rice ball
000010B6 (4278)	shogun rice ball
000010B7 (4279)	Tavnazian salad
000010B8 (4280)	garlic cracker +1
000010B9 (4281)	red hot cracker
000010BA (4282)	pipin' hot popoto
000010BB (4283)	cup of choco-delight
000010BC (4284)	bowl of tender navarin
000010BD (4285)	bowl of ocean soup
000010BE (4286)	cup of healing tea
000010BF (4287)	opo-opo tart
000010C0 (4288)	zebra eel
000010C1 (4289)	forest carp
000010C2 (4290)	Elshimo frog
000010C3 (4291)	sandfish
000010C4 (4292)	loaf of pain de neige
000010C5 (4293)	serving of monastic sautee
000010C6 (4294)	serving of medicinal quus
000010C7 (4295)	plate of royal sautee
000010C8 (4296)	serving of green curry
000010C9 (4297)	serving of black curry
000010CA (4298)	serving of red curry
000010CB (4299)	flask of orange au lait
000010CC (4300)	flask of apple au lait
000010CD (4301)	flask of pear au lait
000010CE (4302)	flask of pamama au lait
000010CF (4303)	flask of persikos au lait
000010D0 (4304)	grimmonite
000010D1 (4305)	ryugu titan
000010D2 (4306)	giant donko
000010D3 (4307)	jungle catfish
000010D4 (4308)	giant chirai
000010D5 (4309)	cave cherax
000010D6 (4310)	tiny goldfish
000010D7 (4311)	black bubble-eye
000010D8 (4312)	lionhead
000010D9 (4313)	blindfish
000010DA (4314)	Bibikibo
000010DB (4315)	lungfish
000010DC (4316)	armored pisces
000010DD (4317)	trilobite
000010DE (4318)	Bibiki urchin
000010DF (4319)	tricorn
000010E0 (4320)	apple pie +1
000010E1 (4321)	Timbre Timbers salad
000010E2 (4322)	dhalmel pie +1
000010E3 (4323)	bowl of vegetable broth
000010E4 (4324)	chunk of Hobgoblin chocolate
000010E5 (4325)	Hobgoblin pie
000010E6 (4326)	serving of Frog Flambe
000010E7 (4327)	bowl of emerald soup
000010E8 (4328)	loaf of Hobgoblin bread
000010E9 (4329)	serving of newt flambe
000010EA (4330)	plate of witch risotto
000010EB (4331)	imperial omelette
000010EC (4332)	orange kuchen +1
000010ED (4333)	bowl of witch soup
000010EE (4334)	ear of grilled corn
000010EF (4335)	slice of juicy mutton
000010F0 (4336)	sweet baked apple
000010F1 (4337)	bowl of stamina soup
000010F2 (4338)	steamed crayfish
000010F3 (4339)	rolanberry pie +1
000010F4 (4340)	bowl of optical soup
000010F5 (4341)	bowl of sunset soup
000010F6 (4342)	steamed crab
000010F7 (4343)	witch kabob
000010F8 (4344)	bowl of witch stew
000010F9 (4345)	serving of flounder meuniere +1
000010FA (4346)	serving of bass meuniere +1
000010FB (4347)	serving of salmon meuniere +1
000010FC (4348)	mutton enchilada
000010FD (4349)	bunny ball
000010FE (4350)	dragon steak
000010FF (4351)	canteen of Giddeus water
00001100 (4352)	Derfland pear
00001101 (4353)	sea bass croute
00001102 (4354)	shining trout
00001103 (4355)	salmon sub sandwich
00001104 (4356)	loaf of white bread
00001105 (4357)	crawler egg
00001106 (4358)	slice of hare meat
00001107 (4359)	slice of dhalmel meat
00001108 (4360)	bastore sardine
00001109 (4361)	nebimonite
0000110A (4362)	lizard egg
0000110B (4363)	faerie apple
0000110C (4364)	loaf of black bread
0000110D (4365)	rolanberry
0000110E (4366)	La Theine cabbage
0000110F (4367)	clump of batagreens
00001110 (4368)	two-leaf mandragora bud
00001111 (4369)	four-leaf mandragora bud
00001112 (4370)	pot of honey
00001113 (4371)	slice of grilled hare
00001114 (4372)	slice of giant sheep meat
00001115 (4373)	woozyshroom
00001116 (4374)	sleepshroom
00001117 (4375)	danceshroom
00001118 (4376)	strip of meat jerky
00001119 (4377)	slice of coeurl meat
0000111A (4378)	jug of Selbina milk
0000111B (4379)	Cheval salmon
0000111C (4380)	smoked salmon
0000111D (4381)	meat mithkabob
0000111E (4382)	frost turnip
0000111F (4383)	gold lobster
00001120 (4384)	black sole
00001121 (4385)	Zafmlug bass
00001122 (4386)	king truffle
00001123 (4387)	wild onion
00001124 (4388)	eggplant
00001125 (4389)	San d'Orian carrot
00001126 (4390)	Mithran tomato
00001127 (4391)	bretzel
00001128 (4392)	Saruta orange
00001129 (4393)	orange kuchen
0000112A (4394)	ginger cookie
0000112B (4395)	Galkan sausage
0000112C (4396)	sausage roll
0000112D (4397)	cinna-cookie
0000112E (4398)	fish mithkabob
0000112F (4399)	bluetail
00001130 (4400)	slice of land crab meat
00001131 (4401)	moat carp
00001132 (4402)	red terrapin
00001133 (4403)	yellow globe
00001134 (4404)	roast trout
00001135 (4405)	rice ball
00001136 (4406)	baked apple
00001137 (4407)	carp sushi
00001138 (4408)	tortilla
00001139 (4409)	hard-boiled egg
0000113A (4410)	roast mushroom
0000113B (4411)	dhalmel pie
0000113C (4412)	thundermelon
0000113D (4413)	apple pie
0000113E (4414)	rolanberry pie
0000113F (4415)	ear of roasted corn
00001140 (4416)	bowl of pea soup
00001141 (4417)	bowl of egg soup
00001142 (4418)	bowl of turtle soup
00001143 (4419)	bowl of mushroom soup
00001144 (4420)	bowl of tomato soup
00001145 (4421)	melon pie
00001146 (4422)	bottle of orange juice
00001147 (4423)	bottle of apple juice
00001148 (4424)	bottle of melon juice
00001149 (4425)	bottle of tomato juice
0000114A (4426)	tricolored carp
0000114B (4427)	gold carp
0000114C (4428)	dark bass
0000114D (4429)	black eel
0000114E (4430)	bowl of pumpkin soup
0000114F (4431)	bunch of San d'Orian grapes
00001150 (4432)	Kazham pineapple
00001151 (4433)	bowl of dhalmel stew
00001152 (4434)	plate of mushroom risotto
00001153 (4435)	slice of cockatrice meat
00001154 (4436)	baked popoto
00001155 (4437)	slice of roast mutton
00001156 (4438)	dhalmel steak
00001157 (4439)	bowl of navarin
00001158 (4440)	bowl of whitefish stew
00001159 (4441)	bottle of grape juice
0000115A (4442)	bottle of pineapple juice
0000115B (4443)	cobalt jellyfish
0000115C (4444)	rarab tail
0000115D (4445)	Yagudo cherry
0000115E (4446)	pumpkin pie
0000115F (4447)	scream fungus
00001160 (4448)	puffball
00001161 (4449)	reishi mushroom
00001162 (4450)	coral fungus
00001163 (4451)	silver shark
00001164 (4452)	bowl of shark fin soup
00001165 (4453)	bowl of eyeball soup
00001166 (4454)	emperor fish
00001167 (4455)	bowl of pebble soup
00001168 (4456)	boiled crab
00001169 (4457)	eel kabob
0000116A (4458)	loaf of Goblin bread
0000116B (4459)	nebimonite bake
0000116C (4460)	block of stone cheese
0000116D (4461)	Bastore bream
0000116E (4462)	monke-onke
0000116F (4463)	takitaro
00001170 (4464)	pipira
00001171 (4465)	bowl of Goblin stew
00001172 (4466)	spicy cracker
00001173 (4467)	garlic cracker
00001174 (4468)	bunch of pamamas
00001175 (4469)	giant catfish
00001176 (4470)	icefish
00001177 (4471)	bladefish
00001178 (4472)	crayfish
00001179 (4473)	crescent fish
0000117A (4474)	gigant squid
0000117B (4475)	sea zombie
0000117C (4476)	titanictus
0000117D (4477)	gavial fish
0000117E (4478)	three-eyed fish
0000117F (4479)	Bhefhel marlin
00001180 (4480)	Gugru tuna
00001181 (4481)	ogre eel
00001182 (4482)	Nosteau herring
00001183 (4483)	tiger cod
00001184 (4484)	shall shell
00001185 (4485)	noble lady
00001186 (4486)	dragon heart
00001187 (4487)	colored egg
00001188 (4488)	jack-o'-lantern
00001189 (4489)	bowl of vegetable gruel
0000118A (4490)	pickled herring
0000118B (4491)	watermelon
0000118C (4492)	bowl of puls
0000118D (4493)	cup of Windurstian tea
0000118E (4494)	pot of San d'Orian tea
0000118F (4495)	chunk of Goblin chocolate
00001190 (4496)	piece of bubble chocolate
00001191 (4497)	heart chocolate
00001192 (4498)	cup of chocomilk
00001193 (4499)	loaf of iron bread
00001194 (4500)	greedie
00001195 (4501)	fat greedie
00001196 (4502)	marron glace
00001197 (4503)	bunch of Buburimu grapes
00001198 (4504)	acorn
00001199 (4505)	handful of sunflower seeds
0000119A (4506)	mutton tortilla
0000119B (4507)	rarab meatball
0000119C (4508)	serving of royal jelly
0000119D (4509)	flask of distilled water
0000119E (4510)	acorn cookie
0000119F (4511)	bowl of ambrosia
000011A0 (4512)	bottle of vampire juice
000011A1 (4513)	bottle of amrita
000011A2 (4514)	quus
000011A3 (4515)	copper frog
000011A4 (4516)	slice of grilled black hare
000011A5 (4517)	serving of yellow curry
000011A6 (4518)	strip of sheep jerky
000011A7 (4519)	wild steak
000011A8 (4520)	coin cookie
000011A9 (4521)	bowl of humpty soup
000011AA (4522)	bowl of jack-o'-soup
000011AB (4523)	melon pie +1
000011AC (4524)	pot of royal tea
000011AD (4525)	pumpkin pie +1
000011AE (4526)	silkworm egg
000011AF (4527)	jug of Mary's Milk
000011B0 (4528)	crystal bass
000011B1 (4529)	rolanberry (881 C.E.)
000011B2 (4530)	rolanberry (874 C.E.)
000011B3 (4531)	rolanberry (864 C.E.)
000011B4 (4532)	soft-boiled egg
000011B5 (4533)	bowl of delicious puls
000011B6 (4534)	bowl of medicinal gruel
000011B7 (4535)	boiled crayfish
000011B8 (4536)	blackened frog
000011B9 (4537)	roast carp
000011BA (4538)	roast pipira
000011BB (4539)	Goblin pie
000011BC (4540)	boiled tuna head
000011BD (4541)	bottle of Goblin drink
000011BE (4542)	bowl of brain stew
000011BF (4543)	Goblin mushpot
000011C0 (4544)	bowl of mushroom stew
000011C1 (4545)	bunch of gysahl greens
000011C2 (4546)	piece of raisin bread
000011C3 (4547)	bowl of boiled cockatrice
000011C4 (4548)	plate of coeurl sautee
000011C5 (4549)	bowl of dragon soup
000011C6 (4550)	plate of bream risotto
000011C7 (4551)	salmon croute
000011C8 (4552)	serving of herb crawler eggs
000011C9 (4553)	serving of batagreen sautee
000011CA (4554)	serving of shallops tropicale
000011CB (4555)	Windurst salad
000011CC (4556)	serving of icecap rolanberry
000011CD (4557)	steamed catfish
000011CE (4558)	bottle of Yagudo drink
000011CF (4559)	serving of herb quus
000011D0 (4560)	bowl of vegetable soup
000011D1 (4561)	bowl of seafood stew
000011D2 (4562)	odontotyrannus
000011D3 (4563)	pamama tart
000011D4 (4564)	royal omelette
000011D5 (4565)	sobbing fungus
000011D6 (4566)	deathball
000011D7 (4567)	moon carrot
000011D8 (4568)	moon ball
000011D9 (4569)	bowl of Quadav stew
000011DA (4570)	bird egg
000011DB (4571)	clump of beaugreens
000011DC (4572)	serving of beaugreen sautee
000011DD (4573)	loaf of steel bread
000011DE (4574)	meat chiefkabob
000011DF (4575)	fish chiefkabob
000011E0 (4576)	wizard cookie
000011E1 (4577)	wild cookie
000011E2 (4578)	sausage
000011E3 (4579)	Elshimo newt
000011E4 (4580)	coral butterfly
000011E5 (4581)	blackened newt
000011E6 (4582)	serving of bass meuniere
000011E7 (4583)	serving of salmon meuniere
000011E8 (4584)	serving of flounder meuniere
000011E9 (4585)	broiled pipira
000011EA (4586)	broiled carp
000011EB (4587)	broiled trout
000011EC (4588)	broiled eel
000011ED (4589)	bowl of wild stew
000011EE (4590)	salmon rice ball
000011EF (4591)	loaf of pumpernickel
000011F0 (4592)	bowl of wisdom soup
000011F1 (4593)	block of rock cheese
000011F2 (4594)	serving of snowy rolanberry
000011F3 (4595)	party egg
000011F4 (4596)	bunch of wild pamamas
000011F5 (4597)	wild melon
000011F6 (4598)	wild pineapple
000011F7 (4599)	blackened toad
000011F8 (4600)	lucky egg
000011F9 (4601)	bowl of sopa de pez blanco
000011FA (4602)	warm egg
000011FB (4603)	cup of chamomile tea
000011FC (4604)	rogue rice ball
000011FD (4605)	naval rice ball
000011FE (4606)	scroll of Dia
000011FF (4607)	scroll of Stone
00001200 (4608)	scroll of Cure
00001201 (4609)	scroll of Cure
00001202 (4610)	scroll of Cure II
00001203 (4611)	scroll of Cure III
00001204 (4612)	scroll of Cure IV
00001205 (4613)	scroll of Cure V
00001207 (4615)	scroll of Curaga
00001208 (4616)	scroll of Curaga II
00001209 (4617)	scroll of Curaga III
0000120A (4618)	scroll of Curaga IV
0000120C (4620)	scroll of Raise
0000120D (4621)	scroll of Raise II
0000120E (4622)	scroll of Poisona
0000120F (4623)	scroll of Paralyna
00001210 (4624)	scroll of Blindna
00001211 (4625)	scroll of Silena
00001212 (4626)	scroll of Stona
00001213 (4627)	scroll of Viruna
00001214 (4628)	scroll of Cursna
00001215 (4629)	scroll of Holy
00001217 (4631)	scroll of Dia
00001218 (4632)	scroll of Dia II
0000121C (4636)	scroll of Banish
0000121D (4637)	scroll of Banish II
0000121E (4638)	scroll of Banish III
00001221 (4641)	scroll of Diaga
00001226 (4646)	scroll of Banishga
00001227 (4647)	scroll of Banishga II
0000122B (4651)	scroll of Protect
0000122C (4652)	scroll of Protect II
0000122D (4653)	scroll of Protect III
0000122E (4654)	scroll of Protect IV
00001230 (4656)	scroll of Shell
00001231 (4657)	scroll of Shell II
00001232 (4658)	scroll of Shell III
00001233 (4659)	scroll of Shell IV
00001235 (4661)	scroll of Blink
00001236 (4662)	scroll of Stoneskin
00001237 (4663)	scroll of Aquaveil
00001238 (4664)	scroll of Slow
00001239 (4665)	scroll of Haste
0000123A (4666)	scroll of Paralyze
0000123B (4667)	scroll of Silence
0000123C (4668)	scroll of Barfire
0000123D (4669)	scroll of Barblizzard
0000123E (4670)	scroll of Baraero
0000123F (4671)	scroll of Barstone
00001240 (4672)	scroll of Barthunder
00001241 (4673)	scroll of Barwater
00001242 (4674)	scroll of Barfira
00001243 (4675)	scroll of Barblizzara
00001244 (4676)	scroll of Baraera
00001245 (4677)	scroll of Barstonra
00001246 (4678)	scroll of Barthundra
00001247 (4679)	scroll of Barwatera
00001248 (4680)	scroll of Barsleep
00001249 (4681)	scroll of Barpoison
0000124A (4682)	scroll of Barparalyze
0000124B (4683)	scroll of Barblind
0000124C (4684)	scroll of Barsilence
0000124D (4685)	scroll of Barpetrify
0000124E (4686)	scroll of Barvirus
0000124F (4687)	scroll of Recall-Jugner
00001250 (4688)	scroll of Recall-Pashh
00001251 (4689)	scroll of Recall-Meriph
00001256 (4694)	scroll of Barsleepra
00001257 (4695)	scroll of Barpoisonra
00001258 (4696)	scroll of Barparalyzra
00001259 (4697)	scroll of Barblindra
0000125A (4698)	scroll of Barsilencera
0000125B (4699)	scroll of Barpetra
0000125C (4700)	scroll of Barvira
0000125D (4701)	scroll of Cura
0000125E (4702)	scroll of Sacrifice
0000125F (4703)	scroll of Esuna
00001260 (4704)	scroll of Auspice
00001264 (4708)	scroll of Enfire
00001265 (4709)	scroll of Enblizzard
00001266 (4710)	scroll of Enaero
00001267 (4711)	scroll of Enstone
00001268 (4712)	scroll of Enthunder
00001269 (4713)	scroll of Enwater
0000126A (4714)	scroll of Phalanx
0000126B (4715)	scroll of Reprisal
0000126C (4716)	scroll of Regen
0000126D (4717)	scroll of Refresh
0000126E (4718)	scroll of Regen II
0000126F (4719)	scroll of Regen III
00001270 (4720)	scroll of Flash
00001271 (4721)	scroll of Repose
00001272 (4722)	scroll of Enfire II
00001273 (4723)	scroll of Enblizzard II
00001274 (4724)	scroll of Enaero II
00001275 (4725)	scroll of Enstone II
00001276 (4726)	scroll of Enthunder II
00001277 (4727)	scroll of Enwater II
00001278 (4728)	scroll of Teleport-Yhoat
00001279 (4729)	scroll of Teleport-Altep
0000127A (4730)	scroll of Teleport-Holla
0000127B (4731)	scroll of Teleport-Dem
0000127C (4732)	scroll of Teleport-Mea
0000127D (4733)	scroll of Protectra
0000127E (4734)	scroll of Protectra II
0000127F (4735)	scroll of Protectra III
00001280 (4736)	scroll of Protectra IV
00001282 (4738)	scroll of Shellra
00001283 (4739)	scroll of Shellra II
00001284 (4740)	scroll of Shellra III
00001285 (4741)	scroll of Shellra IV
00001287 (4743)	scroll of Reraise
00001288 (4744)	scroll of Invisible
00001289 (4745)	scroll of Sneak
0000128A (4746)	scroll of Deodorize
0000128B (4747)	scroll of Teleport-Vahzl
0000128C (4748)	scroll of Raise III
0000128D (4749)	scroll of Reraise II
0000128E (4750)	scroll of Reraise III
0000128F (4751)	scroll of Erase
00001290 (4752)	scroll of Fire
00001291 (4753)	scroll of Fire II
00001292 (4754)	scroll of Fire III
00001293 (4755)	scroll of Fire IV
00001295 (4757)	scroll of Blizzard
00001296 (4758)	scroll of Blizzard II
00001297 (4759)	scroll of Blizzard III
00001298 (4760)	scroll of Blizzard IV
0000129A (4762)	scroll of Aero
0000129B (4763)	scroll of Aero II
0000129C (4764)	scroll of Aero III
0000129D (4765)	scroll of Aero IV
0000129F (4767)	scroll of Stone
000012A0 (4768)	scroll of Stone II
000012A1 (4769)	scroll of Stone III
000012A2 (4770)	scroll of Stone IV
000012A4 (4772)	scroll of Thunder
000012A5 (4773)	scroll of Thunder II
000012A6 (4774)	scroll of Thunder III
000012A7 (4775)	scroll of Thunder IV
000012A9 (4777)	scroll of Water
000012AA (4778)	scroll of Water II
000012AB (4779)	scroll of Water III
000012AC (4780)	scroll of Water IV
000012AE (4782)	scroll of Firaga
000012AF (4783)	scroll of Firaga II
000012B0 (4784)	scroll of Firaga III
000012B3 (4787)	scroll of Blizzaga
000012B4 (4788)	scroll of Blizzaga II
000012B5 (4789)	scroll of Blizzaga III
000012B8 (4792)	scroll of Aeroga
000012B9 (4793)	scroll of Aeroga II
000012BA (4794)	scroll of Aeroga III
000012BD (4797)	scroll of Stonega
000012BE (4798)	scroll of Stonega II
000012BF (4799)	scroll of Stonega III
000012C2 (4802)	scroll of Thundaga
000012C3 (4803)	scroll of Thundaga II
000012C4 (4804)	scroll of Thundaga III
000012C7 (4807)	scroll of Waterga
000012C8 (4808)	scroll of Waterga II
000012C9 (4809)	scroll of Waterga III
000012CC (4812)	scroll of Flare
000012CE (4814)	scroll of Freeze
000012D0 (4816)	scroll of Tornado
000012D2 (4818)	scroll of Quake
000012D4 (4820)	scroll of Burst
000012D6 (4822)	scroll of Flood
000012D8 (4824)	scroll of Gravity
000012DC (4828)	scroll of Poison
000012DD (4829)	scroll of Poison II
000012E1 (4833)	scroll of Poisonga
000012E2 (4834)	scroll of Poisonga II
000012E6 (4838)	scroll of Bio
000012E7 (4839)	scroll of Bio II
000012EB (4843)	scroll of Burn
000012EC (4844)	scroll of Frost
000012ED (4845)	scroll of Choke
000012EE (4846)	scroll of Rasp
000012EF (4847)	scroll of Shock
000012F0 (4848)	scroll of Drown
000012F5 (4853)	scroll of Drain
000012F6 (4854)	scroll of Drain II
000012F7 (4855)	scroll of Aspir
000012F9 (4857)	scroll of Blaze Spikes
000012FA (4858)	scroll of Ice Spikes
000012FB (4859)	scroll of Shock Spikes
000012FC (4860)	scroll of Stun
000012FD (4861)	scroll of Sleep
000012FE (4862)	scroll of Blind
00001302 (4866)	scroll of Bind
00001303 (4867)	scroll of Sleep II
00001304 (4868)	scroll of Dispel
00001305 (4869)	scroll of Warp
00001306 (4870)	scroll of Warp II
00001307 (4871)	scroll of Escape
00001308 (4872)	scroll of Tractor
00001309 (4873)	scroll of Retrace
0000130A (4874)	scroll of Absorb-STR
0000130B (4875)	scroll of Absorb-DEX
0000130C (4876)	scroll of Absorb-VIT
0000130D (4877)	scroll of Absorb-AGI
0000130E (4878)	scroll of Absorb-INT
0000130F (4879)	scroll of Absorb-MND
00001310 (4880)	scroll of Absorb-CHR
00001311 (4881)	scroll of Sleepga
00001312 (4882)	scroll of Sleepga II
00001313 (4883)	scroll of Absorb-TP
00001315 (4885)	scroll of Dread Spikes
00001316 (4886)	scroll of Absorb-ACC
00001320 (4896)	Fire Spirit pact
00001321 (4897)	Ice Spirit pact
00001322 (4898)	Air Spirit pact
00001323 (4899)	Earth Spirit pact
00001324 (4900)	Thunder Spirit pact
00001325 (4901)	Water Spirit pact
00001326 (4902)	Light Spirit pact
00001327 (4903)	Dark Spirit pact
00001340 (4928)	scroll of Katon: Ichi
00001341 (4929)	scroll of Katon: Ni
00001343 (4931)	scroll of Hyoton: Ichi
00001344 (4932)	scroll of Hyoton: Ni
00001346 (4934)	scroll of Huton: Ichi
00001347 (4935)	scroll of Huton: Ni
00001349 (4937)	scroll of Doton: Ichi
0000134A (4938)	scroll of Doton: Ni
0000134C (4940)	scroll of Raiton: Ichi
0000134D (4941)	scroll of Raiton: Ni
0000134F (4943)	scroll of Suiton: Ichi
00001350 (4944)	scroll of Suiton: Ni
00001352 (4946)	scroll of Utsusemi: Ichi
00001353 (4947)	scroll of Utsusemi: Ni
00001355 (4949)	scroll of Jubaku: Ichi
00001358 (4952)	scroll of Hojo: Ichi
00001359 (4953)	scroll of Hojo: Ni
0000135B (4955)	scroll of Kurayami: Ichi
0000135C (4956)	scroll of Kurayami: Ni
0000135E (4958)	scroll of Dokumori: Ichi
00001361 (4961)	scroll of Tonko: Ichi
00001362 (4962)	scroll of Tonko: Ni
00001364 (4964)	scroll of Monomi: Ichi
00001370 (4976)	scroll of Foe Requiem
00001371 (4977)	scroll of Foe Requiem II
00001372 (4978)	scroll of Foe Requiem III
00001373 (4979)	scroll of Foe Requiem IV
00001374 (4980)	scroll of Foe Requiem V
00001375 (4981)	scroll of Foe Requiem VI
00001378 (4984)	scroll of Horde Lullaby
0000137A (4986)	scroll of Army's Paeon
0000137B (4987)	scroll of Army's Paeon II
0000137C (4988)	scroll of Army's Paeon III
0000137D (4989)	scroll of Army's Paeon IV
0000137E (4990)	scroll of Army's Paeon V
00001382 (4994)	scroll of Mage's Ballad
00001383 (4995)	scroll of Mage's Ballad II
00001385 (4997)	scroll of Knight's Minne
00001386 (4998)	scroll of Knight's Minne II
